Family,Genus,Species,Binomial,X_For_Partition,Binomial_2,No_VF,RNA,DNA,Retro,Zoo,RWL,log_AR,AR,log_Forearm,Forearm,log_Mass,Mass,Pulse,sqrt_Rarea,Range_Area,Median_Y_Lat,Median_X_Long,Sympatry,log_Median,Group Size,Roost,Lifespan,Torpor,Diet_2,Migration,Status,Trend,sin_Citations,sin_No_Mixed,Residuals,PhyloClust56,PhyloClust41
Rhinopomatidae,Rhinopoma,hardwickii,Rhinopoma hardwickii,147,Rhinopoma_hardwickii,1,1,0,0,1,55.21607106,0.838849091,6.900000004,1.752816431,56.59999998,1.11058971,12.89999999,1,4116.661269,16946900,21.3943005,31.6601009,188,NA,NA,G,NA,H,Pred,N,LC,S,2.312438341,2.893443986,-92.25401678,PC6,PC35
Vespertilionidae,Antrozous,pallidus,Antrozous pallidus,148,Antrozous_pallidus,1,1,0,0,1,31.28252344,NA,NA,1.716003344,52.00000004,1.347134783,22.24,1,2089.703328,4366859.999,32.733799,-108.6910019,110,2.041392685,110,G,109.2,T,NA,Y,LC,S,5.598435676,NA,-59.75157405,PC1,PC1
Vespertilionidae,Corynorhinus,townsendii,Corynorhinus townsendii,149,Corynorhinus_townsendii,1,1,0,0,1,NA,0.770852012,5.900000005,1.63748973,43.40000005,1.012837225,10.30000001,1,2143.998601,4596730.001,36.5381012,-109.7109985,108,1.311753861,20.5,G,254,H,Pred,NA,LC,S,4.718578581,2.312438341,-64.71155668,PC1,PC1
Vespertilionidae,Eptesicus,brasiliensis,Eptesicus brasiliensis,150,Eptesicus_brasiliensis,1,1,0,0,1,33.5575,0.80160263,6.332899995,1.599883072,39.79999999,0.963787827,9.199999993,NA,3621.726108,13116900,-6.4819398,-59.5668983,290,NA,NA,NA,NA,NA,Pred,NA,LC,U,2.644120761,NA,36.72806468,PC1,PC1
Vespertilionidae,Eptesicus,diminutus,Eptesicus diminutus,151,Eptesicus_diminutus,1,1,0,0,1,NA,NA,NA,1.537819095,34.49999999,0.777426822,5.989999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pred,NA,DD,U,1.818446459,NA,NA,PC1,PC1
Vespertilionidae,Eptesicus,furinalis,Eptesicus furinalis,152,Eptesicus_furinalis,1,1,0,0,1,NA,NA,NA,1.592731766,39.14999996,0.886490725,7.699999997,2,4036.409295,16292600,-8.6753798,-61.1181984,297,1,10,G,NA,T,Pred,NA,LC,U,3.584289652,2.094712547,21.12103165,PC1,PC1
Vespertilionidae,Euderma,maculatum,Euderma maculatum,153,Euderma_maculatum,1,1,0,0,1,NA,NA,NA,1.694605199,49.50000001,1.20871002,16.17,NA,1450.717064,2104580,37.9290009,-111.7180023,46,0,1,G,NA,H,Pred,NA,LC,S,4.625068916,0,-88.91634555,PC1,PC1
Vespertilionidae,Kerivoula,titania,Kerivoula titania,154,Kerivoula_titania,1,1,0,0,1,20.71517476,0.682145076,4.809999996,NA,NA,0.703291378,5.049999999,NA,749.7492914,562124,18.1324005,103.6179962,103,NA,NA,NA,NA,NA,Pred,NA,LC,U,0.881373587,NA,6.297891453,PC1,PC4
Vespertilionidae,Lasionycteris,noctivagans,Lasionycteris noctivagans,155,Lasionycteris_noctivagans,1,1,0,0,1,37.32890328,0.819543936,6.600000007,1.615529224,41.26000003,1.042181595,11.02000001,1,3179.685519,10110400,42.4276009,-100.2740021,63,0.812913357,6.500000005,G,144,T,Pred,Y,LC,S,5.846447128,NA,-166.1734753,PC1,PC1
Vespertilionidae,Lasiurus,blossevillii,Lasiurus blossevillii,156,Lasiurus_blossevillii,1,1,0,0,0,NA,NA,NA,1.602059991,39.99999997,1.063708559,11.57999999,NA,4282.802821,18342400,0.593701,-70.2350998,307,NA,NA,F,NA,NA,Pred,NA,LC,U,3.333477587,NA,17.6885445,PC1,PC2
